section,benefit,notes,[Income] IncomeShield Plan A* - IP Premium (incl. MSHL),[Income] IncomeShield Plan A* - IP Premium (excl. MSHL),[Income] IncomeShield Plan A* - Annual change in IP premium (excl. MSHL) over last 3 years,[Income] Enhanced IncomeShield Advantage - IP Premium (incl. MSHL),[Income] Enhanced IncomeShield Advantage - IP Premium (excl. MSHL),[Income] Enhanced IncomeShield Advantage - Annual change in IP premium (excl. MSHL) over last 3 years,source_pdf,source_slug,source_page,source_table,repair_flags
,1 to 20,,204 - 223,56 - 75,3.8%,189 - 212,41 - 64,12.2% to 13.3%,04_class_a_plans.pdf,class_a_plans,7,1,
,21 to 30,,310,55,3.9%,313,58,9.6%,04_class_a_plans.pdf,class_a_plans,7,1,
,31 to 40,,480 - 487,83 - 90,3.9% to 4.0%,497 - 522,100 - 125,5.6% to 6.4%,04_class_a_plans.pdf,class_a_plans,7,1,
,41 to 50,,709 - 722,174 - 187,3.8% to 3.9%,758 - 786,223 - 251,3.5% to 5.8%,04_class_a_plans.pdf,class_a_plans,7,1,
,51 to 60,,"1,074 - 1,093",259 - 278,3.9%,"1,209 - 1,251",394 - 436,5.7% to 5.8%,04_class_a_plans.pdf,class_a_plans,7,1,
,61 to 65,,"1,488",449,3.8%,"1,741",702,6.0%,04_class_a_plans.pdf,class_a_plans,7,1,
,66 to 70,,"1,842",721,3.9%,"2,196","1,075",6.0%,04_class_a_plans.pdf,class_a_plans,7,1,
,71 to 73,,"2,242","1,025",3.9%,"2,750","1,533",6.0%,04_class_a_plans.pdf,class_a_plans,7,1,
,74 to 75,,"2,570","1,225",3.9%,"3,152","1,807",5.7%,04_class_a_plans.pdf,class_a_plans,7,1,
,76 to 78,,"3,064","1,505",3.9%,"3,759","2,200",5.7%,04_class_a_plans.pdf,class_a_plans,7,1,
,79 to 80,,"3,345","1,725",3.9%,"4,215","2,595",6.3%,04_class_a_plans.pdf,class_a_plans,7,1,
,81 to 83,,"3,285","1,579",3.9%,"4,344","2,638",5.7%,04_class_a_plans.pdf,class_a_plans,7,1,
,84 to 85,,"3,873","1,902",3.9%,"4,983","3,012",5.7%,04_class_a_plans.pdf,class_a_plans,7,1,
,86 to 90,,"4,408 - 4,718","2,345 - 2,655",3.9%,"5,530 - 5,771","3,467 - 3,708",5.7% to 6.9%,04_class_a_plans.pdf,class_a_plans,7,1,
,Premiums above age 90,,"5,105 - 6,281","3,012 - 4,188",3.9%,"6,196 - 7,960","4,103 - 5,867",5.7%,04_class_a_plans.pdf,class_a_plans,7,1,
