section,benefit,notes,[Prudential] PRUShield A* - IP Premium (incl. MSHL),[Prudential] PRUShield A* - IP Premium (excl. MSHL),[Prudential] PRUShield A* - Annual change in IP premium (excl. MSHL) over last 3 years,[Prudential] PRUShield Plus - IP Premium (incl. MSHL),[Prudential] PRUShield Plus - IP Premium (excl. MSHL),[Prudential] PRUShield Plus - Annual change in IP premium (excl. MSHL) over last 3 years,source_pdf,source_slug,source_page,source_table,repair_flags
,1 to 20,,216,68,0.6%,216 - 223,68 - 75,2.0% to 2.2%,04_class_a_plans.pdf,class_a_plans,8,1,
,21 to 30,,323,68,0.6%,314,59,1.8%,04_class_a_plans.pdf,class_a_plans,8,1,
,31 to 40,,490,93,0.6%,485 - 511,88 - 114,2.2%,04_class_a_plans.pdf,class_a_plans,8,1,
,41 to 50,,706,171,0.6%,685 - 719,150 - 184,2.1% to 2.3%,04_class_a_plans.pdf,class_a_plans,8,1,
,51 to 60,,"1,070 - 1,084",255 - 269,0.6%,"1,044 - 1,076",229 - 261,2.0% to 2.2%,04_class_a_plans.pdf,class_a_plans,8,1,
,61 to 65,,"1,520",481,0.6%,"1,386 - 1,472",347 - 433,1.4% to 1.6%,04_class_a_plans.pdf,class_a_plans,8,1,
,66 to 70,,"1,927",807,0.6%,"1,822 - 1,909",702 - 788,1.1%,04_class_a_plans.pdf,class_a_plans,8,1,
,71 to 73,,"2,522","1,305",0.6%,"2,323","1,105",0.6%,04_class_a_plans.pdf,class_a_plans,8,1,
,74 to 75,,"2,877","1,532",0.6%,"2,619 - 2,788","1,274 - 1,443",0.6%,04_class_a_plans.pdf,class_a_plans,8,1,
,76 to 78,,"3,815","2,256",0.6%,"3,293 - 3,584","1,735 - 2,025",0.6%,04_class_a_plans.pdf,class_a_plans,8,1,
,79 to 80,,"3,789","2,169",0.6%,"3,673","2,054",0.6%,04_class_a_plans.pdf,class_a_plans,8,1,
,81 to 83,,"3,621","1,915",0.6%,"3,975","2,269",0.6%,04_class_a_plans.pdf,class_a_plans,8,1,
,84 to 85,,"4,188","2,217",0.6%,"4,603","2,632",0.6%,04_class_a_plans.pdf,class_a_plans,8,1,
,86 to 90,,"4,470","2,407",0.6%,"4,887","2,824",0.6%,04_class_a_plans.pdf,class_a_plans,8,1,
,Premiums above age 90,,"6,184 - 6,853","4,091 - 4,759",0.6%,"5,013 - 5,920","2,920 - 3,826",0.6%,04_class_a_plans.pdf,class_a_plans,8,1,
