section,benefit,notes,[Income] IncomeShield Plan B*,[Income] Enhanced IncomeShield Basic,[AIA] HealthShield Gold Max C*,[AIA] HealthShield Gold Max B Lite,[Great Eastern] GREAT SupremeHealth B*,[Great Eastern] GREAT SupremeHealth B PLUS,[Prudential] PRUShield B*,[Singlife] Singlife Shield Plan 3,[Raffles Health Insurance] Raffles Shield B,source_pdf,source_slug,source_page,source_table,repair_flags
Additional Benefits Limits (Cont'd):,Critical Illnesses,,-,-,"Addtl 30,000 policy yr limit (for 30 Critical Illnesses) (Note (4))","Addtl 50,000 policy yr limit (for 30 Critical Illnesses) (Note (4))",-,-,-,"Additional 50,000/yr (for 5 Critical Illnesses) (Note (4))",-,03_class_b1_plans.pdf,class_b1_plans,4,1,
Additional Benefits Limits (Cont'd):,Emergency overseas treatment,,Covered under Inpatient and Day surgery limits,As Charged but limited to costs of ward class B1 in Singapore restructured hospitals,Reimburse Eligible Expenses incurred for overseas medical or surgical treatment subject to the applicable claim limits under AIA HealthShield Gold Max C. Benefit payable under Emergency Overseas (Outside Singapore) Medical Treatment Benefit limited to the level of reasonable and customary charges in a Singapore Private Hospital.,Reimburse Eligible Expenses incurred for overseas medical or surgical treatment subject to the applicable claim limits under AIA HealthShield Gold Max B Lite. Benefit payable under Emergency Overseas (Outside Singapore) Medical Treatment Benefit limited to the level of reasonable and customary charges in a Singapore Private Hospital.,"Reimburse the actual Expenses incurred overseas or the Reasonable and Customary Charges applicable in a Class B1 ward of a Restructured Hospital, whichever is the lower, subject to the benefit limits of GREAT SupremeHealth B.","Reimburse the actual Expenses incurred overseas or the Reasonable and Customary Charges applicable in a Class B1 ward of a Restructured Hospital, whichever is the lower, subject to the benefit limits of GREAT SupremeHealth B PLUS.",Reimburse the lower of Hospital expenses incurred up to the limits covered by PRUShield B or the actual Reasonable and Cusotmary Expenses,As Charged (pegged to costs restructured hospitals in Singapore),As Charged (limited to Singapore Restructured Hospital Class B1 Ward charges),03_class_b1_plans.pdf,class_b1_plans,4,1,
Additional Benefits Limits (Cont'd):,Planned overseas treatment,,-,-,-,-,-,-,-,As Charged (pegged to costs of restructured hospitals in Singapore) (Note (5)),-,03_class_b1_plans.pdf,class_b1_plans,4,1,
Additional Benefits Limits (Cont'd):,Proton Beam Therapy Treatment (Categories 1-4),,"Categories 1, 2, and 3 are covered under Radiotherapy for Cancer limits. Category 4 is covered under Radiosurgery limit.","70,000/yr [Note (15a and 15b)]",-,"100,000/yr [Note (15a)]","20,000/yr [Note (15a and 15b)]","40,000/yr [Note (15a and 15b)]",-,"70,000/yr [Note (15a)]","75,000/yr [Note (15a and 15b)]",03_class_b1_plans.pdf,class_b1_plans,4,1,
Additional Benefits Limits (Cont'd):,"Cell, Tissue and Gene Therapy",,-,"150,000/yr",-,"250,000/yr","50,000/yr","100,000/yr",-,"150,000/yr","50,000/yr",03_class_b1_plans.pdf,class_b1_plans,4,1,
Additional Benefits Limits (Cont'd):,Final Expense Benefit (Note (10)),,"3,000","3,000","2,500","2,500","3,600","3,600","3,000","10,000","3,000",03_class_b1_plans.pdf,class_b1_plans,4,1,
Additional Benefits Limits (Cont'd):,Waiver of Premium upon Total Permanent Disability,,-,-,Waives 1 yr premium for insured,Waives 1 yr premium for insured,-,-,-,-,"In the event of Death/TPD of the parent (payor), premium will be wavied for the Insured until he/she reaches age 21.",03_class_b1_plans.pdf,class_b1_plans,4,1,
Additional Benefits Limits (Cont'd): | Other Policy Features,Pro-ration factors for Private Hospital & Private Outpatient Clinics [Note (6)] (Please check with your insurer for more information on other applicable factors),,-,50%,50%,Private Hospital - 50% Private Outpatient - 65% Private Day Surgery - 65%,25% (Note (7)),25% (Note (7)),-,35%,Raffles Hospital - 60% Private Hospitals (except Raffles Hospital) - 50%,03_class_b1_plans.pdf,class_b1_plans,4,1,
Additional Benefits Limits (Cont'd): | Other Policy Features,Pro-ration factors for Class A Wards,,-,85%,-,80% (Note (8)),70% (Note (7)),70% (Note (7)),-,85%,80%,03_class_b1_plans.pdf,class_b1_plans,4,1,
Additional Benefits Limits (Cont'd): | Other Policy Features,Pro-ration factors for Non-Subsidised Short- Stay Ward / Day Surgery / Outpatient Treatment,,-,-,-,-,70% (Note (7)),70% (Note (7)),-,85%,-,03_class_b1_plans.pdf,class_b1_plans,4,1,
