section,benefit,notes,[Income] IncomeShield Plan B* - IP Premium (incl. MSHL),[Income] IncomeShield Plan B* - IP Premium (excl. MSHL),[Income] IncomeShield Plan B* - Annual change in IP premium (excl. MSHL) over last 3 years,[Income] Enhanced IncomeShield Basic - IP Premium (incl. MSHL),[Income] Enhanced IncomeShield Basic - IP Premium (excl. MSHL),[Income] Enhanced IncomeShield Basic - Annual change in IP premium (excl. MSHL) over last 3 years,source_pdf,source_slug,source_page,source_table,repair_flags
,1 to 20,,173 - 202,25 - 54,4.0% to 4.4%,175 - 191,27 - 43,4.0% to 4.2%,03_class_b1_plans.pdf,class_b1_plans,7,1,
,21 to 30,,289,34,4.3%,292,37,5.0%,03_class_b1_plans.pdf,class_b1_plans,7,1,
,31 to 40,,446 - 456,49 - 59,3.6% to 3.7%,469 - 480,72 - 83,4.4% to 4.6%,03_class_b1_plans.pdf,class_b1_plans,7,1,
,41 to 50,,622,87,3.7%,664 - 683,129 - 148,4.4% to 4.5%,03_class_b1_plans.pdf,class_b1_plans,7,1,
,51 to 60,,902 - 914,87 - 99,3.7% to 4.0%,982 - 995,167 - 180,4.4% to 4.6%,03_class_b1_plans.pdf,class_b1_plans,7,1,
,61 to 65,,"1,236",197,3.8%,"1,378",339,4.5%,03_class_b1_plans.pdf,class_b1_plans,7,1,
,66 to 70,,"1,539",418,3.9%,"1,656",535,4.5%,03_class_b1_plans.pdf,class_b1_plans,7,1,
,71 to 73,,"1,801",584,3.9%,"2,033",816,4.5%,03_class_b1_plans.pdf,class_b1_plans,7,1,
,74 to 75,,"2,011",666,3.9%,"2,313",968,4.5%,03_class_b1_plans.pdf,class_b1_plans,7,1,
,76 to 78,,"2,361",802,3.9%,"2,717","1,158",4.5%,03_class_b1_plans.pdf,class_b1_plans,7,1,
,79 to 80,,"2,438",818,3.9%,"2,938","1,318",4.5%,03_class_b1_plans.pdf,class_b1_plans,7,1,
,81 to 83,,"2,258",552,3.8%,"3,152","1,446",4.5%,03_class_b1_plans.pdf,class_b1_plans,7,1,
,84 to 85,,"2,753",782,3.9% to 3.9%,"3,674","1,703",4.5%,03_class_b1_plans.pdf,class_b1_plans,7,1,
,86 to 90,,"2,931 - 3,085","868 - 1,022",3.8% to 3.9%,"3,942 - 4,252","1,879 - 2,189",4.5%,03_class_b1_plans.pdf,class_b1_plans,7,1,
,Premiums above age 90,,"3,333 - 4,230","1,240 - 2,137",3.9%,"4,713 - 5,949","2,620 - 3,856",4.5%,03_class_b1_plans.pdf,class_b1_plans,7,1,
