section,benefit,notes,[Income] IncomeShield Plan P*,[Income] Enhanced IncomeShield Preferred,[AIA] HealthShield Gold Max A,[Great Eastern] GREAT SupremeHealth A*,[Great Eastern] GREAT SupremeHealth P PLUS,[Prudential] PRUShield Premier,[Singlife] Singlife Shield Plan 1,[Singlife] Singlife Shield Starter,[HSBC Life] HSBC Life Shield Plan A,[Raffles Health Insurance] Raffles Shield Private,source_pdf,source_slug,source_page,source_table,repair_flags
Other Policy Features,Proration factors (Pls check with your insurer for more information on other applicable factors),,-,-,-,-,-,-,-,Providers which are not part of Singlife Preferred Medical Providers - 50%,-,-,05_private_hospital_plans.pdf,private_hospital_plans,5,1,
Other Policy Features | Deductibles (Per Policy Year) (Note (7)),- Class C,,"1,500","1,500","1,500","3,500","1,500","1,500","1,500","1,500","1,500","1,500",05_private_hospital_plans.pdf,private_hospital_plans,5,1,
Other Policy Features | Deductibles (Per Policy Year) (Note (7)),- Class B2,,"2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","1,500",05_private_hospital_plans.pdf,private_hospital_plans,5,1,forward_fill_from_previous:[Raffles Health Insurance] Raffles Shield Private
Other Policy Features | Deductibles (Per Policy Year) (Note (7)),- Class B1,,"2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","1,500",05_private_hospital_plans.pdf,private_hospital_plans,5,1,forward_fill_from_previous:[Raffles Health Insurance] Raffles Shield Private
Other Policy Features | Deductibles (Per Policy Year) (Note (7)),- Class A and Private Hospital,,"3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","1,500",05_private_hospital_plans.pdf,private_hospital_plans,5,1,forward_fill_from_previous:[Raffles Health Insurance] Raffles Shield Private
Other Policy Features | Deductibles (Per Policy Year) (Note (7)),- Subsidised Day Surgery / Short Stay Wards,,"2,000","2,000",,"Restructured hospital 1,500 (short stay) 2,000 (day surgery)","1,500","1,500","1,500","3,000","2,000",,05_private_hospital_plans.pdf,private_hospital_plans,5,1,
Other Policy Features | Deductibles (Per Policy Year) (Note (7)),- Unsubsidised Day Surgery / Short Stay Wards,,"3,500","3,500","2,000",,"Restructured hospital: 2,000 (short stay) 2,500 (day surgery) Private Hospital: 3,500 (short stay & day surgery)","2,000","2,000","2,000","3,000",,05_private_hospital_plans.pdf,private_hospital_plans,5,1,
Other Policy Features | Deductibles (Per Policy Year) (Note (7)),Co-insurance,,10%,10%,10%,10%,10%,10%,"10% (max 25,500/yr)",10%,10%,10%,05_private_hospital_plans.pdf,private_hospital_plans,5,1,
Other Policy Features | Deductibles (Per Policy Year) (Note (7)),Policy Year Limit,,"300,000","1,500,000","1,000,000 or 2,000,000 (If admitted to / treated by AIA Preferred Providers) [Notes (2) and (5)]","300,000","1,500,000","1,200,000 or 2,000,000 (if admitted to and treated by Panel Providers) (Note (13))","1,000,000 or 2,000,000 (for A&E or preferred medical providers) (Note (8))","20,000","1,000,000 or 2,500,000 (If treated by HSBC Life Panel of specialists or at Restructured Hospital) (Note (12))","600,000 or 1,500,000 (If treated by Panel, Extended Panel specialist or at restructured hospital)",05_private_hospital_plans.pdf,private_hospital_plans,5,1,
Other Policy Features | Deductibles (Per Policy Year) (Note (7)),Lifetime Limit,,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,05_private_hospital_plans.pdf,private_hospital_plans,5,1,
Other Policy Features | Deductibles (Per Policy Year) (Note (7)),Last Entry Age,,75,75,75,75,75,75,75,39,75,75,05_private_hospital_plans.pdf,private_hospital_plans,5,1,
Other Policy Features | Deductibles (Per Policy Year) (Note (7)),Maximum Coverage Age,,Lifetime,Lifetime,Lifetime,Lifetime,Lifetime,Lifetime,Lifetime,Lifetime (Auto-conversion at age 40 to prevailing plan for Public Hospital Class A ward),Lifetime,Lifetime,05_private_hospital_plans.pdf,private_hospital_plans,5,1,
