section,benefit,notes,IP Premium (incl. MSHL),IP Premium (excl. MSHL),Annual change in IP premium (excl. MSHL) over last 3 years,IP Premium (incl. MSHL) (2),IP Premium (excl. MSHL) (2),Annual change in IP premium (excl. MSHL) over last 3 years (2),IP Premium (incl. MSHL) (3),IP Premium (excl. MSHL) (3),Annual change in IP premium (excl. MSHL) over last 3 years (3),source_pdf,source_slug,source_page,source_table,repair_flags
,1 to 20,,429,281,7.1%,268 - 292,120 - 144,9.6% to 9.7%,350 - 402,203 - 254,3.1% to 9.0%,05_private_hospital_plans.pdf,private_hospital_plans,8,2,
,21 to 30,,536 - 617,281 - 362,6.9% to 7.1%,399,144,9.6%,509 - 550,254 - 296,7.2% to 7.6%,05_private_hospital_plans.pdf,private_hospital_plans,8,2,
,31 to 40,,837 - 887,440 - 490,6.9%,589,192,9.7%,807 - 838,409 - 441,8.3% to 11.0%,05_private_hospital_plans.pdf,private_hospital_plans,8,2,
,41 to 50,,"1,640 - 1,734","1,105 - 1,199",6.9%,903,368,9.8%,"1,373 - 1,415",839 - 880,8.9% to 10.7%,05_private_hospital_plans.pdf,private_hospital_plans,8,2,
,51 to 60,,"2,523 - 2,985","1,708 - 2,170",6.9%,"1,352",537,9.8%,"2,180 - 2,763","1,365 - 1,948",6.8% to 10.7%,05_private_hospital_plans.pdf,private_hospital_plans,8,2,
,61 to 65,,"3,970","2,931",6.9%,"1,804",765,9.8%,"3,607 - 3,624","2,568 - 2,585",10.4% to 10.7%,05_private_hospital_plans.pdf,private_hospital_plans,8,2,
,66 to 70,,"5,429","4,308",6.9%,"2,554","1,433",9.8%,"4,721 - 5,011","3,601 - 3,891",8.2% to 10.7%,05_private_hospital_plans.pdf,private_hospital_plans,8,2,
,71 to 73,,"6,939","5,722",6.9%,"3,347","2,130",9.8%,"5,595 - 6,337","4,378 - 5,120",7.2% to 11.0%,05_private_hospital_plans.pdf,private_hospital_plans,8,2,
,74 to 75,,"7,683","6,338",6.9%,"3,837","2,492",9.8%,"6,771 - 7,310","5,427 - 5,965",11.0%,05_private_hospital_plans.pdf,private_hospital_plans,8,2,
,76 to 78,,"9,484","7,925",6.9%,"4,664","3,105",9.8%,"7,793 - 8,730","6,235 - 7,171",11.0%,05_private_hospital_plans.pdf,private_hospital_plans,8,2,
,79 to 80,,"10,457","8,837",6.9%,"4,756","3,136",9.8%,"9,142 - 9,804","7,523 - 8,184",11.2%,05_private_hospital_plans.pdf,private_hospital_plans,8,2,
,81 to 83,,"11,099","9,393",6.9%,"4,842","3,136",9.8%,"10,260 - 10,898","8,553 - 9,192",7.5% to 10.5%,05_private_hospital_plans.pdf,private_hospital_plans,8,2,
,84 to 85,,"11,459","9,488",6.9%,"5,163","3,192",9.8%,"11,175 - 11,187","9,204 - 9,216",5.9%,05_private_hospital_plans.pdf,private_hospital_plans,8,2,
,86 to 90,,"11,645 - 11,742","9,582 - 9,679",6.9%,"6,542 - 6,809","4,479 - 4,746",9.8%,"11,315 - 11,408","9,252 - 9,345",5.7%,05_private_hospital_plans.pdf,private_hospital_plans,8,2,
,Premiums above age 90,,"12,256 - 13,626","10,163 - 11,533",6.9%,"6,839 - 7,644","4,746 - 5,551",4.6% to 9.8%,"11,532 - 12,505","9,438 - 10,412",3.0% to 4.3%,05_private_hospital_plans.pdf,private_hospital_plans,8,2,
