section,benefit,notes,[Prudential] PRUShield Premier - IP Premium (incl. MSHL),[Prudential] PRUShield Premier - IP Premium (excl. MSHL),[Prudential] PRUShield Premier - Annual change in IP premium (excl. MSHL) over last 3 years,[Singlife] Singlife Shield Plan 1 - IP Premium (incl. MSHL),[Singlife] Singlife Shield Plan 1 - IP Premium (excl. MSHL),[Singlife] Singlife Shield Plan 1 - Annual change in IP premium (excl. MSHL) over last 3 years,[Singlife] Singlife Shield Starter - IP Premium (incl. MSHL),[Singlife] Singlife Shield Starter - IP Premium (excl. MSHL),[Singlife] Singlife Shield Starter - Annual change in IP premium (excl. MSHL) over last 3 years,source_pdf,source_slug,source_page,source_table,repair_flags
,1 to 20,,405 - 448,257 - 300,11.4% to 13.1%,342 - 380,194 - 232,0.3% to 6.5%,475,327,N.A. (Note: Singlife Shield Starter was only launched in Jul 2023),05_private_hospital_plans.pdf,private_hospital_plans,9,1,
,21 to 30,,547 - 555,292 - 300,7.0% to 12.4%,490 - 523,235 - 268,0.4% to 4.9%,582,327,N.A. (Note: Singlife Shield Starter was only launched in Jul 2023),05_private_hospital_plans.pdf,private_hospital_plans,9,1,forward_fill_from_previous:[Singlife] Singlife Shield Starter - Annual change in IP premium (excl. MSHL) over last 3 years
,31 to 40,,816 - 869,419 - 472,8.6% to 13.0%,749 - 825,352 - 428,-4.9% to 1.5%,724,327,N.A. (Note: Singlife Shield Starter was only launched in Jul 2023),05_private_hospital_plans.pdf,private_hospital_plans,9,1,forward_fill_from_previous:[Singlife] Singlife Shield Starter - Annual change in IP premium (excl. MSHL) over last 3 years
,41 to 50,,"1,429 - 1,478",894 - 943,11.0% to 13.0%,"1,279 - 1,748","744 - 1,213",1.4% to 9.5%,N.A. (Note: Singlife Shield Starter is only available for those aged 1-39 ANB),327,N.A. (Note: Singlife Shield Starter was only launched in Jul 2023),05_private_hospital_plans.pdf,private_hospital_plans,9,1,forward_fill_from_previous:[Singlife] Singlife Shield Starter - IP Premium (excl. MSHL)|forward_fill_from_previous:[Singlife] Singlife Shield Starter - Annual change in IP premium (excl. MSHL) over last 3 years
,51 to 60,,"2,322 - 2,879","1,507 - 2,064",12.7%,"2,038 - 2,707","1,223 - 1,892",1.6% to 9.5%,N.A. (Note: Singlife Shield Starter is only available for those aged 1-39 ANB),327,N.A. (Note: Singlife Shield Starter was only launched in Jul 2023),05_private_hospital_plans.pdf,private_hospital_plans,9,1,forward_fill_from_previous:[Singlife] Singlife Shield Starter - IP Premium (incl. MSHL)|forward_fill_from_previous:[Singlife] Singlife Shield Starter - IP Premium (excl. MSHL)|forward_fill_from_previous:[Singlife] Singlife Shield Starter - Annual change in IP premium (excl. MSHL) over last 3 years
,61 to 65,,"3,755 - 3,776","2,716 - 2,737",12.7%,"3,079 - 3,640","2,040 - 2,601",1.4% to 9.9%,N.A. (Note: Singlife Shield Starter is only available for those aged 1-39 ANB),327,N.A. (Note: Singlife Shield Starter was only launched in Jul 2023),05_private_hospital_plans.pdf,private_hospital_plans,9,1,forward_fill_from_previous:[Singlife] Singlife Shield Starter - IP Premium (incl. MSHL)|forward_fill_from_previous:[Singlife] Singlife Shield Starter - IP Premium (excl. MSHL)|forward_fill_from_previous:[Singlife] Singlife Shield Starter - Annual change in IP premium (excl. MSHL) over last 3 years
,66 to 70,,"4,929 - 5,237","3,808 - 4,116",12.7%,"4,199 - 4,420","3,078 - 3,299",3.5% to 5.9%,N.A. (Note: Singlife Shield Starter is only available for those aged 1-39 ANB),327,N.A. (Note: Singlife Shield Starter was only launched in Jul 2023),05_private_hospital_plans.pdf,private_hospital_plans,9,1,forward_fill_from_previous:[Singlife] Singlife Shield Starter - IP Premium (incl. MSHL)|forward_fill_from_previous:[Singlife] Singlife Shield Starter - IP Premium (excl. MSHL)|forward_fill_from_previous:[Singlife] Singlife Shield Starter - Annual change in IP premium (excl. MSHL) over last 3 years
,71 to 73,,"6,072 - 6,328","4,855 - 5,111",10.9%,"5,250 - 5,677","4,033 - 4,460",2.5% to 6.0%,N.A. (Note: Singlife Shield Starter is only available for those aged 1-39 ANB),327,N.A. (Note: Singlife Shield Starter was only launched in Jul 2023),05_private_hospital_plans.pdf,private_hospital_plans,9,1,forward_fill_from_previous:[Singlife] Singlife Shield Starter - IP Premium (incl. MSHL)|forward_fill_from_previous:[Singlife] Singlife Shield Starter - IP Premium (excl. MSHL)|forward_fill_from_previous:[Singlife] Singlife Shield Starter - Annual change in IP premium (excl. MSHL) over last 3 years
,74 to 75,,"6,762 - 7,287","5,417 - 5,942",10.9%,"6,121 - 6,439","4,776 - 5,094",2.8% to 5.0%,N.A. (Note: Singlife Shield Starter is only available for those aged 1-39 ANB),327,N.A. (Note: Singlife Shield Starter was only launched in Jul 2023),05_private_hospital_plans.pdf,private_hospital_plans,9,1,forward_fill_from_previous:[Singlife] Singlife Shield Starter - IP Premium (incl. MSHL)|forward_fill_from_previous:[Singlife] Singlife Shield Starter - IP Premium (excl. MSHL)|forward_fill_from_previous:[Singlife] Singlife Shield Starter - Annual change in IP premium (excl. MSHL) over last 3 years
,76 to 78,,"7,702 - 8,398","6,143 - 6,839",9.3% to 10.5%,"6,759 - 7,224","5,200 - 5,665",2.0% to 5.0%,N.A. (Note: Singlife Shield Starter is only available for those aged 1-39 ANB),327,N.A. (Note: Singlife Shield Starter was only launched in Jul 2023),05_private_hospital_plans.pdf,private_hospital_plans,9,1,forward_fill_from_previous:[Singlife] Singlife Shield Starter - IP Premium (incl. MSHL)|forward_fill_from_previous:[Singlife] Singlife Shield Starter - IP Premium (excl. MSHL)|forward_fill_from_previous:[Singlife] Singlife Shield Starter - Annual change in IP premium (excl. MSHL) over last 3 years
