section,benefit,notes,IP Premium (incl. MSHL),IP Premium (excl. MSHL),Annual change in IP premium (excl. MSHL) over last 3 years,IP Premium (incl. MSHL) (2),IP Premium (excl. MSHL) (2),Annual change in IP premium (excl. MSHL) over last 3 years (2),source_pdf,source_slug,source_page,source_table,repair_flags
,1 to 20,,321 - 336,173 - 189,-2.9% to 1.0%,346,198,0.6%,05_private_hospital_plans.pdf,private_hospital_plans,9,2,
,21 to 30,,443 - 489,189 - 234,0.6% to 1.2%,477 - 480,222 - 225,0.6%,05_private_hospital_plans.pdf,private_hospital_plans,9,2,
,31 to 40,,697,300,0.0% to 0.9%,742 - 745,345 - 348,0.6%,05_private_hospital_plans.pdf,private_hospital_plans,9,2,
,41 to 50,,"1,135",600,0.0%,"1,082 - 1,179",547 - 644,0.6%,05_private_hospital_plans.pdf,private_hospital_plans,9,2,
,51 to 60,,"1,885 - 2,241","1,070 - 1,426",5.7% to 6.4%,"1,781 - 1,892","966 - 1,077",0.6%,05_private_hospital_plans.pdf,private_hospital_plans,9,2,
,61 to 65,,"2,975","1,936",6.5%,"2,605","1,566",0.6%,05_private_hospital_plans.pdf,private_hospital_plans,9,2,
,66 to 70,,"3,759 - 3,820","2,638 - 2,700",6.3%,"3,396","2,275",0.6%,05_private_hospital_plans.pdf,private_hospital_plans,9,2,
,71 to 73,,"4,658","3,440",2.7%,"4,114","2,897",0.6%,05_private_hospital_plans.pdf,private_hospital_plans,9,2,
,74 to 75,,"5,277","3,932",3.6%,"4,752","3,407",0.6%,05_private_hospital_plans.pdf,private_hospital_plans,9,2,
,76 to 78,,"5,983","4,424",0.2%,"5,613","4,054",0.6%,05_private_hospital_plans.pdf,private_hospital_plans,9,2,
,79 to 80,,"6,609","4,990",1.2%,"6,461","4,841",0.6%,05_private_hospital_plans.pdf,private_hospital_plans,9,2,
,81 to 83,,"6,946","5,239",1.4%,"7,090","5,384",0.6%,05_private_hospital_plans.pdf,private_hospital_plans,9,2,
,84 to 85,,"7,921","5,950",0.5%,"8,601","6,630",0.6%,05_private_hospital_plans.pdf,private_hospital_plans,9,2,
,86 to 90,,"8,587 - 9,226","6,524 - 7,163",2.8% to 2.9%,"9,261 - 9,733","7,198 - 7,670",0.6%,05_private_hospital_plans.pdf,private_hospital_plans,9,2,
,Premiums above age 90,,"9,724 - 11,304","7,630 - 9,210",-3.0% to 0.5%,"9,847 - 11,789","7,754 - 9,696",0.6%,05_private_hospital_plans.pdf,private_hospital_plans,9,2,
