section,benefit,notes,Standard IP,source_pdf,source_slug,source_page,source_table,repair_flags
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Normal Ward [Note (5)],,"2,250/day^",02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,1,1,
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Intensive Care Unit Ward,^ An additional claim limit of $300 per day applies for the first two inpatient days,"6,850/day^",02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,1,1,attached_note_row
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Psychiatric,,680/day (up to 60 days per policy yr),02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,1,1,
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Community Hospital (Rehabilitative),,760/day,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,1,1,
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Community Hospital (Sub-acute),,960/day,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,1,1,
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Inpatient Palliative Care Service (General),,560/day,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,1,1,
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Inpatient Palliative Care Service (Specialised),,760/day,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,1,1,
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,Surgical Procedures,,"590 - 21,840",02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,1,1,
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,Implants,,"9,800/treatment",02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,1,1,
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,"Radiosurgery, including Proton Beam Therapy - Category 4 [Note (4)]",,"31,300/treatment course",02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,1,1,
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,Continuation of Autologous Bone Marrow Transplant Treatment for Multiple Myeloma [Note (3)],,"14,040/treatment",02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,1,1,
Inpatient and Day Surgery: | Daily Ward and Treatment Charges | Outpatient Treatment: | Patients receiving treatment for one primary cancer,- Cancer Drug Treatment,,3x MediShield Life limit/mth* (* Refer to the Cancer Drug List on the MOH website for the applicable MediShield Life claim limit),02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,1,1,
Inpatient and Day Surgery: | Daily Ward and Treatment Charges | Outpatient Treatment: | Patients receiving treatment for one primary cancer,- Cancer Drug Services,,"2x MediShield Life limit for one primary cancer (7,200/yr)",02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,1,1,
Inpatient and Day Surgery: | Daily Ward and Treatment Charges | Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers,- Cancer Drug Treatment,,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month* (* Refer to the Cancer Drug List on the MOH website for the applicable MediShield Life claim limit),02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,1,1,
Inpatient and Day Surgery: | Daily Ward and Treatment Charges | Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers,- Cancer Drug Services,,"2x MediShield Life limit for multiple primary cancers (14,400/yr)",02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,1,1,
Inpatient and Day Surgery: | Daily Ward and Treatment Charges | Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- External (Except Hemi-Body),,880/treatment,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,1,1,
Inpatient and Day Surgery: | Daily Ward and Treatment Charges | Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Brachytherapy,,"1,100/treatment",02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,1,1,
Inpatient and Day Surgery: | Daily Ward and Treatment Charges | Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Hemi-Body,,"2,510/treatment",02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,1,1,
