section,benefit,notes,[Income] IncomeShield Standard Plan,[AIA] HealthShield Gold Max Standard Plan,[Great Eastern] GREAT SupremeHealth STANDARD,[Prudential] PRUShield Standard Plan,[Singlife] Singlife Shield Standard Plan,[HSBC Life] HSBC Life Shield Standard Plan,[Raffles Health Insurance] Raffles Shield Standard Plan,source_pdf,source_slug,source_page,source_table,repair_flags
Age Next Birthday:,1 to 20,,183 - 184,209,179 - 184,189,195,188,188,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,3,1,
Age Next Birthday:,21 to 30,,300,320,291,304,306,306,304,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,3,1,
Age Next Birthday:,31 to 40,,464,485,451,461,469,460,460,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,3,1,
Age Next Birthday:,41 to 50,,652 - 675,672 - 696,621,645,644 - 672,644,645 - 662,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,3,1,
Age Next Birthday:,51 to 60,,967 - 991,"1,005 - 1,045",930,959 - 997,981 - 984,960 - 979,959 - 981,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,3,1,
Age Next Birthday:,61 to 65,,"1,281","1,381","1,274","1,294","1,331","1,323","1,319",02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,3,1,
Age Next Birthday:,66 to 70,,"1,557","1,634","1,495","1,524","1,527","1,547","1,523",02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,3,1,
Age Next Birthday:,71 to 73,,"1,895","1,987","1,815","1,839","1,864","1,883","1,849",02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,3,1,
Age Next Birthday:,74 to 75,,"2,148","2,309","2,027","2,105","2,096","2,155","2,102",02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,3,1,
Age Next Birthday:,76 to 78,,"2,489","2,725","2,291","2,518","2,564","2,687","2,528",02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,3,1,
Age Next Birthday:,79 to 80,,"2,611","2,912","2,402","2,653","2,628","2,827","2,652",02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,3,1,
Age Next Birthday:,81 to 83,,"2,778","3,143","2,524","2,885","2,943","2,951","2,901",02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,3,1,
Age Next Birthday:,84 to 85,,"3,298","3,523","2,995","3,197","3,214","3,370","3,191",02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,3,1,
Age Next Birthday:,86 to 90,,"3,635 - 3,795","3,907 - 4,078","3,339 - 3,393","3,505 - 3,684","3,859 - 3,933","3,635 - 3,837","3,598 - 3,740",02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,3,1,
Age Next Birthday:,Premiums above age 90,,"3,964 - 4,527","4,294 - 5,029","3,529 - 3,991","3,872 - 4,510","4,118 - 4,367","4,698 - 5,346","3,927 - 4,505",02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,3,1,
