section,benefit,notes,[Income] IncomeShield Standard Plan - IP Premium (incl. MSHL),[Income] IncomeShield Standard Plan - IP Premium (excl. MSHL),[Income] IncomeShield Standard Plan - Annual change in IP premium (excl. MSHL) over last 3 years,[AIA] HealthShield Gold Max Standard Plan - IP Premium (incl. MSHL),[AIA] HealthShield Gold Max Standard Plan - IP Premium (excl. MSHL),[AIA] HealthShield Gold Max Standard Plan - Annual change in IP premium (excl. MSHL) over last 3 years,source_pdf,source_slug,source_page,source_table,repair_flags
,1 to 20,,183 - 184,35 - 36,7.5% to 7.7%,209,61,6.9%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,1,
,21 to 30,,300,45,7.7% to 7.7%,320,65,7.1%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,1,
,31 to 40,,464,67,7.5% to 10.2%,485,88,6.8%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,1,
,41 to 50,,652 - 675,117 - 140,9.7% to 10.4%,672 - 696,137 - 161,6.8% to 7.9%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,1,
,51 to 60,,967 - 991,152 - 176,10.4% to 13.3%,1005 - 1045,190 - 230,6.4%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,1,
,61 to 65,,"1,281",242,7.3% to 7.3%,"1,381",342,6.9%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,1,
,66 to 70,,"1,557",436,4.9%,"1,634",513,6.9%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,1,
,71 to 73,,"1,895",678,6.8%,"1,987",770,6.9%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,1,
,74 to 75,,"2,148",803,6.8%,"2,309",964,6.9%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,1,
,76 to 78,,"2,489",930,5.6%,"2,725","1,166",6.9%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,1,
,79 to 80,,"2,611",991,5.6%,"2,912","1,292",6.9%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,1,
,81 to 83,,"2,778","1,072",5.6%,"3,143","1,437",6.9%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,1,
,84 to 85,,"3,298","1,327",7.3%,"3,523","1,552",6.9%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,1,
,86 to 90,,"3,635 - 3,795","1,572 - 1,732",7.0% to 7.9%,"3,907 - 4,078","1,844 - 2,015",6.9%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,1,
,Premiums above age 90,,"3,964 - 4,527","1,871 - 2,434",6.3% to 7.9%,"4,294 - 5,029","2,201 - 2,936",6.9%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,1,
