section,benefit,notes,IP Premium (incl. MSHL),IP Premium (excl. MSHL),Annual change in IP premium (excl. MSHL) over last 3 years,IP Premium (incl. MSHL) (2),IP Premium (excl. MSHL) (2),Annual change in IP premium (excl. MSHL) over last 3 years (2),source_pdf,source_slug,source_page,source_table,repair_flags
,1 to 20,,179 - 184,31 - 36,2.6% to 4.2%,189,42,0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,2,
,21 to 30,,291,36,2.6%,304,49,0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,2,
,31 to 40,,451,54,4.0%,461,64,0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,2,
,41 to 50,,621,86,4.0%,645,110,0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,2,
,51 to 60,,930,115,4.1%,959 - 997,144 - 182,0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,2,
,61 to 65,,"1,274",235,4.4%,"1,294",255,0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,2,
,66 to 70,,"1,495",374,4.4%,"1,524",403,0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,2,
,71 to 73,,"1,815",598,4.4%,"1,839",621,0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,2,
,74 to 75,,"2,027",682,4.5%,"2,105",760,0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,2,
,76 to 78,,"2,291",732,4.4%,"2,518",960,0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,2,
,79 to 80,,"2,402",782,4.5%,"2,653","1,033",0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,2,
,81 to 83,,"2,524",818,4.4%,"2,885","1,179",0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,2,
,84 to 85,,"2,995","1,024",4.5%,"3,197","1,225",0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,2,
,86 to 90,,"3,339 - 3,393","1,276 - 1,330",4.5%,"3,505 - 3,684","1,442 - 1,621",0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,2,
,Premiums above age 90,,"3,529 - 3,991","1,436 - 1,898",1.0% to 4.5%,"3,872 - 4,510","1,779 - 2,416",0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,4,2,
