section,benefit,notes,IP Premium (incl. MSHL),IP Premium (excl. MSHL),Annual change in IP premium (excl. MSHL) over last 3 years,source_pdf,source_slug,source_page,source_table,repair_flags
,1 to 20,,188,40,0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,5,2,
,21 to 30,,304,49,0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,5,2,
,31 to 40,,460,63,0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,5,2,
,41 to 50,,645 - 662,110 - 127,0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,5,2,
,51 to 60,,959 - 981,144 - 166,0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,5,2,
,61 to 65,,"1,319",280,0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,5,2,
,66 to 70,,"1,523",402,0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,5,2,
,71 to 73,,"1,849",632,0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,5,2,
,74 to 75,,"2,102",757,0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,5,2,
,76 to 78,,"2,528",969,0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,5,2,
,79 to 80,,"2,652","1,032",0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,5,2,
,81 to 83,,"2,901","1,195",0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,5,2,
,84 to 85,,"3,191","1,220",0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,5,2,
,86 to 90,,"3,598 - 3,740","1,535 - 1,677",0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,5,2,
,Premiums above age 90,,"3,927 - 4,505","1,834 - 2,412",0.6%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,5,2,
