slug,csv_file,page_number,table_number,row_count,plan_column_count,repaired_row_count,benefit_match_rate,value_match_rate,note_match_rate,structural_issue_count,status,issue_samples
basic,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/basic/page_001_table_01.csv,1,1,11,3,2,1.0,1.0,1.0,0,pass,[]
basic,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/basic/page_002_table_01.csv,2,1,15,3,5,1.0,1.0,1.0,0,pass,[]
basic,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/basic/page_003_table_01.csv,3,1,7,3,1,1.0,1.0,1.0,0,pass,[]
basic,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/basic/page_004_table_01.csv,4,1,11,3,0,1.0,1.0,1.0,0,pass,[]
basic,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/basic/page_005_table_01.csv,5,1,15,3,0,1.0,1.0,1.0,0,pass,[]
standard_integrated_shield_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/standard_integrated_shield_plans/page_001_table_01.csv,1,1,26,1,1,1.0,1.0,1.0,0,pass,[]
standard_integrated_shield_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/standard_integrated_shield_plans/page_002_table_01.csv,2,1,11,1,0,1.0,1.0,1.0,0,pass,[]
standard_integrated_shield_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/standard_integrated_shield_plans/page_003_table_01.csv,3,1,15,7,0,1.0,1.0,1.0,0,pass,[]
standard_integrated_shield_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/standard_integrated_shield_plans/page_004_table_01.csv,4,1,15,6,0,1.0,1.0,1.0,0,pass,[]
standard_integrated_shield_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/standard_integrated_shield_plans/page_004_table_02.csv,4,2,15,6,0,1.0,1.0,1.0,0,pass,[]
standard_integrated_shield_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/standard_integrated_shield_plans/page_005_table_01.csv,5,1,15,6,0,1.0,1.0,1.0,0,pass,[]
standard_integrated_shield_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/standard_integrated_shield_plans/page_005_table_02.csv,5,2,15,3,0,1.0,1.0,1.0,0,pass,[]
class_b1_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/class_b1_plans/page_001_table_01.csv,1,1,10,9,5,1.0,1.0,1.0,0,pass,[]
class_b1_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/class_b1_plans/page_002_table_01.csv,2,1,16,9,6,1.0,1.0,1.0,0,pass,[]
class_b1_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/class_b1_plans/page_003_table_01.csv,3,1,9,9,1,1.0,1.0,1.0,0,pass,[]
class_b1_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/class_b1_plans/page_004_table_01.csv,4,1,10,9,0,1.0,1.0,1.0,0,pass,[]
class_b1_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/class_b1_plans/page_005_table_01.csv,5,1,11,9,3,1.0,1.0,1.0,0,pass,[]
class_b1_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/class_b1_plans/page_006_table_01.csv,6,1,15,9,0,1.0,1.0,1.0,0,pass,[]
class_b1_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/class_b1_plans/page_007_table_01.csv,7,1,15,6,0,1.0,1.0,1.0,0,pass,[]
class_b1_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/class_b1_plans/page_007_table_02.csv,7,2,15,6,0,1.0,1.0,1.0,0,pass,[]
class_b1_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/class_b1_plans/page_008_table_01.csv,8,1,15,6,0,1.0,1.0,1.0,0,pass,[]
class_b1_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/class_b1_plans/page_008_table_02.csv,8,2,15,9,0,1.0,1.0,1.0,0,pass,[]
class_a_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/class_a_plans/page_001_table_01.csv,1,1,10,9,4,1.0,1.0,1.0,0,pass,[]
class_a_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/class_a_plans/page_002_table_01.csv,2,1,16,9,6,1.0,1.0,1.0,0,pass,[]
class_a_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/class_a_plans/page_003_table_01.csv,3,1,6,9,2,1.0,1.0,1.0,0,pass,[]
class_a_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/class_a_plans/page_004_table_01.csv,4,1,12,9,2,1.0,1.0,1.0,0,pass,[]
class_a_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/class_a_plans/page_005_table_01.csv,5,1,13,9,1,1.0,1.0,1.0,0,pass,[]
class_a_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/class_a_plans/page_006_table_01.csv,6,1,15,9,0,1.0,1.0,1.0,0,pass,[]
class_a_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/class_a_plans/page_007_table_01.csv,7,1,15,6,0,1.0,1.0,1.0,0,pass,[]
class_a_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/class_a_plans/page_007_table_02.csv,7,2,15,6,0,1.0,1.0,1.0,0,pass,[]
class_a_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/class_a_plans/page_008_table_01.csv,8,1,15,6,0,1.0,1.0,1.0,0,pass,[]
class_a_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/class_a_plans/page_008_table_02.csv,8,2,15,9,0,1.0,1.0,1.0,0,pass,[]
private_hospital_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/private_hospital_plans/page_001_table_01.csv,1,1,10,10,4,1.0,1.0,1.0,0,pass,[]
private_hospital_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/private_hospital_plans/page_002_table_01.csv,2,1,15,10,5,1.0,1.0,1.0,0,pass,[]
private_hospital_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/private_hospital_plans/page_003_table_01.csv,3,1,7,10,2,1.0,1.0,1.0,0,pass,[]
private_hospital_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/private_hospital_plans/page_004_table_01.csv,4,1,11,10,1,1.0,1.0,1.0,0,pass,[]
private_hospital_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/private_hospital_plans/page_005_table_01.csv,5,1,12,10,3,1.0,1.0,1.0,0,pass,[]
private_hospital_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/private_hospital_plans/page_007_table_01.csv,7,1,15,10,0,1.0,1.0,1.0,0,pass,[]
private_hospital_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/private_hospital_plans/page_008_table_01.csv,8,1,15,6,0,1.0,1.0,1.0,0,pass,[]
private_hospital_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/private_hospital_plans/page_008_table_02.csv,8,2,15,9,0,1.0,1.0,1.0,0,pass,[]
private_hospital_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/private_hospital_plans/page_009_table_01.csv,9,1,15,9,14,1.0,1.0,1.0,0,pass,[]
private_hospital_plans,/Users/abhishek/Desktop/Assignments/FinTech A2/ip_plan_tables/cleaned_csv/private_hospital_plans/page_009_table_02.csv,9,2,15,6,0,1.0,1.0,1.0,0,pass,[]
