Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Benefits,[Income] IncomeShield Plan A*,[Income] Enhanced IncomeShield Advantage,[AIA] HealthShield Gold Max B,[Great Eastern] GREAT SupremeHealth A PLUS,[Prudential] PRUShield A*,[Prudential] PRUShield Plus,[Singlife] Singlife Shield Plan 2,[HSBC Life] HSBC Life Shield Plan B,[Raffles Health Insurance] Raffles Shield A
Outpatient Treatment:,,,,,,,,,
Patients receiving treatment for one primary cancer,,,,,,,,,
- Cancer Drug Treatment* (* Refer to the Cancer Drug List on the MOH website for the applicable MediShield Life claim limit),5x MediShield Life limit/mth,5x MediShield Life limit/mth,5x MediShield Life limit/mth,5x MediShield Life limit/mth,3x MediShield Life limit/mth [Note (14)],5x MediShield Life limit/mth,5x MediShield Life limit/mth,5x MediShield Life limit/mth,5x MediShield Life limit/mth
- Cancer Drug Services,"5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","3x MediShield Life limit/yr (10,800/yr) [Note (14)]","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)"
Patients receiving treatment for multiple,rimary cancers,,,,,,,,
- Cancer Drug Treatment,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month   [Note (14)],Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month
- Cancer Drug Services,"5x MediShield Life limit for multiple primary cancers (36,000/yr)","5x MediShield Life limit for multiple primary cancers (36,000/yr)","5x MediShield Life limit for multiple primary cancers (36,000/yr)","5x MediShield Life limit for multiple primary cancers (36,000/yr)","3x MediShield Life limit for multiple primary cancers (21,600/yr)  [Note (14)]","5x MediShield Life limit for multiple primary cancers (36,000/yr)","5x MediShield Life limit for multiple primary cancers (36,000/yr)","5x MediShield Life limit for multiple primary cancers (36,000/yr)","5x MediShield Life limit for multiple primary cancers (36,000/yr)"
Radiotherapy for Cancer,,,,,,,,,
- External (Except Hemi-Body),400/treatment,,"As Charged in Restructured Hospitals.  For charges incurred in private hospital, as-charged up to 500/treatment.  Pro-ration only apply for charges above 500/treatment.",As Charged,600/day,As Charged,As Charged,As Charged,As Charged
- Brachytherapy,500/treatment,,,,,,,,
- Hemi-Body,-,,,,,,,,
- Stereotactic,"3,000/treatment",,"As Charged in Restructured Hospitals.  For charges incurred in private hospital, as-charged up to 4,000/treatment.  Pro- ration only apply for charges above 4,000 /treatment.","3,500/treatment",,,,,
- Proton Beam Therapy - Category 1,400/treatment [Note (15a and 15b)],Covered under Additional Benefits,Covered under Additional Benefits,Covered under Additional Benefits,-,Covered under Additional Benefits,Covered under Additional Benefits,Covered under Additional Benefits,Covered under Additional Benefits
- Proton Beam Therapy - Category 2,500/treatment [Note (15a and 15b)],,,,,,,,
- Proton Beam Therapy - Category 3,"3,000/treatment [Note (15a and 15b)]",,,,,,,,
Kidney Dialysis,"3,000/mth",As Charged (Pro-ration factor waived for applicable treatment by preferred partners) (Note (11)),"As Charged in Restructured Hospitals.  For charges incurred in private hospital, as-charged up to 36,000/yr.  Pro-ration only apply for charges above 36,000/year",As Charged,"36,000/yr",As Charged,As Charged,As Charged,As Charged
Immunosuppressants for Organ Transplants,700/mth,As Charged,"As Charged in Restructured Hospitals. For charges incurred in private hospital, as-charged up to  7,200/year. Pro-ration only apply for charges above 7,200/year",As Charged,"7,200/year",As Charged,As Charged,As Charged,As Charged
Erythropoietin for Chronic Kidney Failure,700/mth,As Charged,"As Charged in Restructured Hospitals. For charges incurred in private hospital, as-charged up to  7,200/year. Pro-ration only apply for charges above 7,200/year",As Charged,"7,200/year",As Charged,As Charged,As Charged,As Charged
Long-Term Parenteral Nutrition,-,As Charged,As Charged,As Charged,-,As Charged,As Charged,As Charged,"3,980/mth"
