Benefits,[Income] IncomeShield Plan A*,[Income] Enhanced IncomeShield Advantage,[AIA] HealthShield Gold Max B,[Great Eastern] GREAT SupremeHealth A PLUS,[Prudential] PRUShield A*,[Prudential] PRUShield Plus,[Singlife] Singlife Shield Plan 2,[HSBC Life] HSBC Life Shield Plan B,[Raffles Health Insurance] Raffles Shield A
Additional Benefits Limits (Cont'd):,,,,,,,,,
Pregnancy and Delivery-Related Complications Benefit* (after 10 mths (or 300 days) waiting period) * For selected conditions only - please check with your insurer for further details,"5,000/yr",As Charged,As Charged,As Charged,-,As Charged,As Charged,As Charged,As Charged
Congenital Abnormalities Benefit of Insured,"7,500/yr (with 24 mths waiting period)",As Charged ( w  i t h   1  2 mths waiting period),As Charged,-,As Charged,As Charged (with 12 mths waiting period),As Charged (after a waiting period of 365 days),As Charged (with 24 mths waiting period),
Congenital Abnormalities Benefit of Insured's Biological Child,-,-,"[Only for female insured] 16,000/ lifetime Limited to 4,000/child (with 10 mths waiting period)","16,000 / lifetime Limited to 4,000 / child (with 300 days waiting period)",-,"[Only for female insured] 16,000 / lifetime Limited to 4,000 / child (with 10 mths waiting period)",-,-,"[Only for female insured] 20,000/ lifetime Limited to 4,000/ child (with 10 mths waiting period)"
Prosthesis Benefit,"6,000/yr","6,000/yr",-,-,-,-,-,-,-
Critical Illnesses,-,-,"Additional 75,000 policy yr limit (for 30 Critical Illnesses) (Note (4))",-,-,-,"Additional 100,000/yr (for 5 Critical Illnesses) (Note (4))",-,-
Emergency overseas treatment,Covered under Inpatient and Day surgery limits,As Charged but limited to costs of ward class A in Singapore restructured hospitals,Reimburse the Eligible Expenses incurred for overseas medical or surgical treatment subject to the Hospitalisation and Surgical Benefits Limits of Compensation applicable under AIA HealthShield Gold Max B. Benefit payable shall be limited to the level of Reasonable and Customary charges in a Singapore Private Hospital,"Reimburse the actual Expenses incurred overseas or the Reasonable and Customary Charges applicable in a Class A ward of a Restructured Hospital, whichever is the lower, subject to the benefit limits of GREAT SupremeHealth A PLUS.",Reimburse the lower of Hospital expenses incurred up to the limits covered by PRUShield A or the actual Reasonable and Cusotmary Expenses,As Charged (paying the lower of: - the overseas charges; or - in accordance with a Singapore Restructured Hospital’s charges),As Charged (pegged to costs of restructured hospitals in Singapore),As Charged (pegged to Reasonable and Customary charges of Singapore Restructured Hospitals),As Charged (limited to Singapore Restructured Hospital Class A Ward charges)
Planned overseas treatment,-,-,As Charged (pegged to costs of restructured hospitals in Singapore) (Note (5)),-,-,As Charged (pegged to costs of restructured hospitals in Singapore) (Note (5)),-,-,
Proton Beam Therapy Treatment (Categories 1-4),"Categories 1, 2, and 3 are covered under Radiotherapy for Cancer limits. Category 4 is covered under Radiosurgery limit.","100,000/yr [Note (15a and 15b)]","100,000/yr [Note (15a)]","60,000/yr [Note (15a and 15b)]",-,"100,000/yr [Note (15a)]","70,000/yr [Note (15a)]","50,000/yr [Note (15a)]","75,000/yr [Note (15a and 15b)]"
"Cell, Tissue and Gene Therapy",-,"250,000/yr","250,000/yr","150,000/yr",-,"250,000/yr","150,000/yr","100,000/yr","50,000/yr"
Final Expense Benefit (Note (9)),"5,000","5,000","3,500","6,000","5,000","3,000","10,000",-,"4,000"
Free new-born benefit (Note (10)),-,-,-,-,-,-,"50,000 / yr",-,-
Waiver of Premium upon Total Permanent Disability,-,-,Waives 1 year premium for insured,-,-,-,-,-,"In the event of Death/TPD of the parent (payor), premium will be wavied for the Insured until he/she reaches age 21."
