Benefits,[Income] IncomeShield Plan A*,[Income] Enhanced IncomeShield Advantage,[AIA] HealthShield Gold Max B,[Great Eastern] GREAT SupremeHealth A PLUS,[Prudential] PRUShield A*,[Prudential] PRUShield Plus,[Singlife] Singlife Shield Plan 2,[HSBC Life] HSBC Life Shield Plan B,[Raffles Health Insurance] Raffles Shield A
Other Policy Features,,,,,,,,,
Proration factors (Pls check with your insurer for more information on other applicable factors),-,Private Hospitals - 65%,Private Hospitals - 70%,Private Hospitals - 35%,-,Private Hospitals - 65%,Private hospitals/ Hospitals outside Singapore -50%,Private Hospitals - 70%,Raffles Hospital - 70% Private Hospitals (except Raffles Hospital) - 60%
Proration factors for Private Outpatient Clinics [Note (6)],-,65%,70% (Note (7)),35%,-,65%,50%,70%,
Deductibles (Per Policy Year) (Note (8)),,,,,,,,,
- Class C,"1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500"
- Class B2,"2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000"
- Class B1,"2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500"
- Class A and Private Hospital,"3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500"
- Subsidised Day Surgery/ Short Stay Wards,"2,000","2,000","2,000","Restructured hospital 1,500 (short stay) 2,000 (day surgery)","1,500","1,500","1,500","3,000","2,000"
- Unsubsidised Day Surgery/ Short Stay Wards,"3,500","3,500","2,000","Restructured hospital: 2,000 (short stay) 2,500 (day surgery) Private Hospital: 3,500 (short stay and day surgery)","2,000","2,000","2,000","3,000",
Co-insurance,10%,10%,10%,10%,10%,10%,"10% (max $25,500/yr)",10%,10%
Policy Year Limit,"200,000","500,000","1,000,000","1,000,000","150,000","1,000,000 (Note (12))","1,000,000","550,000","600,000"
Lifetime Limit,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited
Last Entry Age,75,75,75,75,75,75,75,75,75
Maximum Coverage Age,Lifetime,Lifetime,Lifetime,Lifetime,Lifetime,Lifetime,Lifetime,Lifetime,Lifetime
