Unnamed: 0,[AIA] HealthShield Gold Max B,[Great Eastern] GREAT SupremeHealth A PLUS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Age Next Birthday:,IP Premium (incl. MSHL),IP Premium (excl. MSHL),Annual change in IP premium (excl. MSHL) over last 3 years,IP Premium (incl. MSHL),IP Premium (excl. MSHL),Annual change in IP premium (excl. MSHL) over last 3 years
1 to 20,252,104,0.6%,219 - 233,71 - 85,0.6%
21 to 30,366,111,0.6%,340 - 359,85 - 104,0.6%
31 to 40,568,171,0.6%,505 - 535,108 - 138,0.6%
41 to 50,869,334,0.6%,734 - 782,199 - 247,0.6%
51 to 60,"1,284 - 1,325",469 - 510,0.6%,"1,107 - 1,343",292 - 528,0.6%
61 to 65,"1,783",744,0.6%,"1,604 - 1,853",565 - 814,0.6%
66 to 70,"2,510","1,389",0.6%,"2,029 - 2,459","908 - 1,338",0.6%
71 to 73,"3,138","1,921",0.6%,"2,679 - 2,877","1,462 - 1,660",0.6%
74 to 75,"3,422","2,077",0.6%,"3,114 - 3,232","1,769 - 1,887",0.6%
76 to 78,"4,515","2,956",0.6%,"3,570 - 3,843","2,011 - 2,284",0.6%
79 to 80,"4,588","2,968",0.6%,"4,056 - 4,222","2,436 - 2,602",0.6%
81 to 83,"4,730","3,024",0.6%,"4,398 - 4,590","2,692 - 2,884",0.6%
84 to 85,"5,072","3,101",0.6%,"4,955 - 5,059","2,984 - 3,088",0.6%
86 to 90,"5,268 - 5,442","3,205 - 3,379",0.6%,"5,259 - 5,728","3,196 - 3,665",0.6%
Premiums above age 90,"5,758 - 6,853","3,665 - 4,760",0.6%,"5,887 - 7,258","3,794 - 5,165",0.6%
