Unnamed: 0,[Singlife] Singlife Shield Plan 2,[HSBC Life] HSBC Life Shield Plan B,[Raffles Health Insurance] Raffles Shield A,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Age Next Birthday:,IP Premium (incl. MSHL),IP Premium (excl. MSHL),Annual change in IP premium (excl. MSHL) over last 3 years,IP Premium (incl. MSHL),IP Premium (excl. MSHL),Annual change in IP premium (excl. MSHL) over last 3 years,IP Premium (incl. MSHL),IP Premium (excl. MSHL),Annual change in IP premium (excl. MSHL) over last 3 years
1 to 20,235,88,0.6%,227,80,0.6%,222 - 227,74 - 79,0.6%
21 to 30,356,101,0.6%,346,92,0.6%,346,91,0.6%
31 to 40,568,171,0.6%,556,159,0.6%,511 - 525,114 - 128,0.6%
41 to 50,853 - 881,318 - 346,0.6%,768 - 853,233 - 318,0.6%,756 - 760,221 - 225,0.6%
51 to 60,"1,292 - 1,318",477 - 503,0.6%,"1,234 - 1,292",419 - 477,0.6%,"1,171 - 1,197",356 - 382,0.6%
61 to 65,"1,827",787,0.6%,"1,719",680,0.6%,"1,655",616,0.6%
66 to 70,"2,362","1,242",0.6%,"2,085",965,0.6%,"2,085",964,0.6%
71 to 73,"3,057","1,840",0.6%,"2,519","1,302",0.6%,"2,632","1,415",0.6%
74 to 75,"3,491","2,146",0.6%,"2,934","1,589",0.6%,"3,041","1,696",0.6%
76 to 78,"4,346","2,787",0.6%,"3,338","1,780",0.6%,"3,521","1,962",0.6%
79 to 80,"4,643","3,023",0.6%,"3,613","1,994",0.6%,"4,016","2,396",0.6%
81 to 83,"5,500","3,794",0.6%,"3,940","2,234",0.6%,"4,321","2,615",0.6%
84 to 85,"5,828","3,857",0.6%,"4,471","2,500",0.6%,"4,874","2,903",0.6%
86 to 90,"6,652 - 6,763","4,589 - 4,700",0.6%,"4,863 - 5,198","2,800 - 3,136",0.6%,"5,362 - 5,579","3,299 - 3,516",0.6%
Premiums above age 90,"6,837 - 7,205","4,744 - 5,112",0.6%,"6,622 - 7,027","4,528 - 4,934",0.6%,"5,883 - 6,800","3,790 - 4,707",0.6%
