Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Benefits,[Income] IncomeShield Plan B*,[Income] Enhanced IncomeShield Basic,[AIA] HealthShield Gold Max C*,[AIA] HealthShield Gold Max B Lite,[Great Eastern] GREAT SupremeHealth B*,[Great Eastern] GREAT SupremeHealth B PLUS,[Prudential] PRUShield B*,[Singlife] Singlife Shield Plan 3,[Raffles Health Insurance] Raffles Shield B
Inpatient and Day Surgery:,,,,,,,,,
Daily Ward and Treatment Charges,,,,,,,,,
- Normal Ward [Note (17)],"1,000/day",,700/day,,"2,300/day [Note (13)]",As Charged,750/day,As Charged,As Charged
- Intensive Care Unit Ward,"1,400/day",,"1,200/day",,"7,000/day [Note (13)]","1,250/day",,,
- Psychiatric,"7,000/yr","7,000/yr","3,500/yr (Additional post- hospitalisation psychiatric treatment of 500/yr within 200 days after Confinement)","3,500/yr (Additional post- hospitalisation psychiatric treatment of 1,000/yr within 200 days after Confinement)","3,000/yr (including post-hospitalisation benefits) [Note (16)]","4,000/yr (Including post-hospitalisation benefits) [Note (16)]",-,500/day (up to 35 days/yr),"5,000/yr (Includes post hospitalisation psychiatric treatment up to 90 days)"
- Community Hospital,"1,000/day (up to 45 days for each admission)",As Charged (up to 90 days for each admission),450/day,As Charged,"Sub-acute Care: 1,000/day Rehabilitation Care: 800/day","Sub-acute Care Public hospitals: As-charged Private hospitals: 1,000/day Rehabilitation Care Public hospitals: As-charged Private hospitals: 800/day",550/day,As Charged,As Charged  (up to 45 days)
- Inpatient Palliative Care (General),-,As Charged,-,As Charged,800/day,As Charged,-,As Charged,560/day
- Inpatient Palliative Care (Specialised),760/day,,,,,,,,
Surgical Procedures,"500 - 8,200",,"As Charged in Governmen/Restructured Hospitals, else subject to pro- ration factor",,"1,100 - 21,900",As Charged,"600 - 8,500",As Charged,As Charged
Implants,"9,000/admission",As Charged,"7,000/treatment",As Charged,"10,000/treatment","8,000/treatment",,,
Radiosurgery,"9,600/treatment course (includes Proton Beam Therapy - Category 4) [Note (15a and 15b)]",,"9,600/procedure",,"31,500/treatment course","10,000/treatment",,,
Continuation of Autologous Bone Marrow Transplant Treatment for Multiple Myeloma (Note (12)),-,"10,000/yr",-,As Charged,"14,100/treatment","20,000/yr",-,As Charged,"14,040/treatment"
