Benefits,[Income] IncomeShield Plan B*,[Income] Enhanced IncomeShield Basic,[AIA] HealthShield Gold Max C*,[AIA] HealthShield Gold Max B Lite,[Great Eastern] GREAT SupremeHealth B*,[Great Eastern] GREAT SupremeHealth B PLUS,[Prudential] PRUShield B*,[Singlife] Singlife Shield Plan 3,[Raffles Health Insurance] Raffles Shield B
Other Policy Features (Cont'd):,,,,,,,,,
Deductibles (per policy yr) (Note (9)),,,,,,,,,
- Class C,"1,500","1,500","1,500","1,500","2,500","1,500","1,500","1,500","1,500"
- Class B2,"2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000",
- Class B1,"2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500",
- Class A and Private Hospital,"2,500","2,500","2,500","3,500","3,500","3,500","3,500","3,500",
- Subsidised Day Surgery/ Short Stay Wards,"2,000","2,000","2,000","2,000","Restructured hospital 1,500 (short stay) 2,000 (day surgery)","1,500","1,500","2,000",
- Unsubsidised Day Surgery/ Short Stay Wards,"2,500","2,500","2,000","2,000","Restructured hospital: 2,000 (short stay) 2,500 (day surgery) Private Hospital: 3,500 (short stay & day surgery)","2,000","2,000","3,000",
Co-insurance,10%,10%,10%,10%,10%,10%,10%,"10% (max $25,500/yr)",10%
Policy Year Limit,"150,000","250,000","150,000","300,000","250,000","500,000","120,000","500,000","300,000"
Lifetime Limit,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited
Last Entry Age,75,75,75,75,75,75,75,75,75
Maximum Coverage Age,Lifetime,Lifetime,Lifetime,Lifetime,Lifetime,Lifetime,Lifetime,Lifetime,Lifetime
