Unnamed: 0,[Prudential] PRUShield B*,[Singlife] Singlife Shield Plan 3,[Raffles Health Insurance] Raffles Shield B,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Age Next Birthday:,IP Premium (incl. MSHL),IP Premium (excl. MSHL),Annual change in IP premium (excl. MSHL) over last 3 years,IP Premium (incl. MSHL),IP Premium (excl. MSHL),Annual change in IP premium (excl. MSHL) over last 3 years,IP Premium (incl. MSHL),IP Premium (excl. MSHL),Annual change in IP premium (excl. MSHL) over last 3 years
1 to 20,187,40,0.6%,219,71,0.6%,205,57,0.6%
21 to 30,294,40,0.6%,329,74,0.6%,315,60,0.6%
31 to 40,450,53,0.6%,499,102,0.6%,482,85,0.6%
41 to 50,613,78,0.6%,718 - 734,183 - 200,0.6%,663,128,0.6%
51 to 60,896 - 907,82 - 92,0.6%,"1,098 - 1,106",283 - 291,0.6%,"1,043 - 1,052",228 - 237,0.6%
61 to 65,"1,218",179,0.6%,"1,528",489,0.6%,"1,424",385,0.6%
66 to 70,"1,475",355,0.6%,"1,853",732,0.6%,"1,744",623,0.6%
71 to 73,"1,863",646,0.6%,"2,390","1,173",0.6%,"2,144",927,0.6%
74 to 75,"2,094",750,0.6%,"2,711","1,366",0.6%,"2,428","1,083",0.6%
76 to 78,"2,715","1,156",0.6%,"3,506","1,948",0.6%,"2,805","1,246",0.6%
79 to 80,"2,705","1,085",0.6%,"3,580","1,960",0.6%,"3,053","1,433",0.6%
81 to 83,"2,535",828,0.6%,"4,304","2,598",0.6%,"3,175","1,469",0.6%
84 to 85,"2,834",863,0.6%,"4,590","2,619",0.6%,"3,813","1,842",0.6%
86 to 90,"3,004",941,0.6%,"5,139 - 5,269","3,076 - 3,206",0.6%,"4,127 - 4,443","2,064 - 2,380",0.6%
Premiums above age 90,"4,080 - 4,500","1,986 - 2,406",0.6%,"5,564 - 6,000","3,471 - 3,907",0.6%,"4,821 - 5,250","2,728 - 3,157",
