Benefits,[Income] IncomeShield Plan P*,[Income] Enhanced IncomeShield Preferred,[AIA] HealthShield Gold Max A,[Great Eastern] GREAT SupremeHealth A*,[Great Eastern] GREAT SupremeHealth P PLUS,[Prudential] PRUShield Premier,[Singlife] Singlife Shield Plan 1,[Singlife] Singlife Shield Starter,[HSBC Life] HSBC Life Shield Plan A,[Raffles Health Insurance] Raffles Shield Private
Inpatient and Day Surgery:,,,,,,,,,,
Daily Ward and Treatment Charges,,,,,,,,,,
- Normal Ward [Note (18)],"2,000/day",As Charged,As Charged,"2,400/day [Note (15)]",As Charged,As Charged,As Charged,As Charged,As Charged,As Charged
- Intensive Care Unit Ward,"2,600/day","7,100/day [Note (15)]",,,,,,,,
- Psychiatric,"10,000/yr","20,000/yr","5,000/yr (Additional post- hospitalisation psychiatric treatment of 5,000/yr within 200 days after Confinement)","4,000/yr (including post hospitalisation benefits) [Note (17)]","5,000/yr (Including post hospitalisation benefits) [Note (17)]","8,000/yr (including pre & post hospitalisation benefits)",(i) As Charged (up to 60 days) [with 10 mth waiting period] (ii) $500/day (up to 35 days) [without waiting period],As Charged (up to 60 days),"Up to $5,000, capped at 60 days per policy year (Additional Post- Hospitalisation Psychiatric Treatment of $5,000 per policy year, within 200 days after Hospital discharge)","8,000/yr (Includes post hospitalisation psychiatric treatment up to 90 days)"
- Community Hospital,"2,000/day (up to 45 days for each admission)",As Charged (up to 90 days for each admission),As Charged,"Sub-acute Care 1,100/day Rehabilitation Care 900/day","Sub-acute Care Public hospitals: As-charged Private hospitals: 1,200/day Rehabilitation Care Public hospitals: As-charged Private hospitals: 1,000/day",As Charged,As Charged,As Charged,As Charged (up to 45 days),As Charged (up to 45 days)
- Inpatient Palliative Care (General),-,As Charged,As Charged,900/day,As Charged,As Charged,As Charged,As Charged,As Charged,560/day
- Inpatient Palliative Care (Specialised),760/day,,,,,,,,,
Surgical Procedures,"1,050 - 14,100",As Charged,As Charged,"1,300 - 22,100",As Charged,As Charged,As Charged,As Charged,As Charged,As Charged
Implants,"14,000/admission","12,000/treatment",,,,,,,,
Radiosurgery,"15,600/treatment course (includes Proton Beam Therapy - Category 4) [Note (16a and 16b)]","31,700/treatment course",,,,,,,,
Continuation of Autologous Bone Marrow Transplant Treatment for Multiple Myeloma (Note (14)),-,"25,000/yr",As Charged,"14,300/treatment","30,000/yr","25,000/yr",As Charged,As Charged,As Charged,"14,040/treatment"
