Benefits,[Income] IncomeShield Plan P*,[Income] Enhanced IncomeShield Preferred,[AIA] HealthShield Gold Max A,[Great Eastern] GREAT SupremeHealth A*,[Great Eastern] GREAT SupremeHealth P PLUS,[Prudential] PRUShield Premier,[Singlife] Singlife Shield Plan 1,[Singlife] Singlife Shield Starter,[HSBC Life] HSBC Life Shield Plan A,[Raffles Health Insurance] Raffles Shield Private
Other Policy Features,,,,,,,,,,
Proration factors (Pls check with your insurer for more information on other applicable factors),-,-,-,-,-,-,-,Providers which are not part of Singlife Preferred Medical Providers - 50%,-,-
Deductibles (Per Policy Year) (Note (7)),,,,,,,,,,
- Class C,"1,500","1,500","1,500","3,500","1,500","1,500","1,500","1,500","1,500","1,500"
- Class B2,"2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000",
- Class B1,"2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500",
- Class A and Private Hospital,"3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500",
- Subsidised Day Surgery / Short Stay Wards,"2,000","2,000",,"Restructured hospital 1,500 (short stay) 2,000 (day surgery)","1,500","1,500","1,500","3,000","2,000",
- Unsubsidised Day Surgery / Short Stay Wards,"3,500","3,500","2,000",,"Restructured hospital: 2,000 (short stay) 2,500 (day surgery) Private Hospital: 3,500 (short stay & day surgery)","2,000","2,000","2,000","3,000",
Co-insurance,10%,10%,10%,10%,10%,10%,"10% (max 25,500/yr)",10%,10%,10%
Policy Year Limit,"300,000","1,500,000","1,000,000 or 2,000,000 (If admitted to / treated by AIA Preferred Providers) [Notes (2) and (5)]","300,000","1,500,000","1,200,000 or 2,000,000 (if admitted to and treated by Panel Providers) (Note (13))","1,000,000 or 2,000,000 (for A&E or preferred medical providers) (Note (8))","20,000","1,000,000 or 2,500,000 (If treated by HSBC Life Panel of specialists or at Restructured Hospital) (Note (12))","600,000 or 1,500,000 (If treated by Panel, Extended Panel specialist or at restructured hospital)"
Lifetime Limit,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited
Last Entry Age,75,75,75,75,75,75,75,39,75,75
Maximum Coverage Age,Lifetime,Lifetime,Lifetime,Lifetime,Lifetime,Lifetime,Lifetime,Lifetime (Auto-conversion at age 40 to prevailing plan for Public Hospital Class A ward),Lifetime,Lifetime
