Premiums,[Income] IncomeShield Plan P*,[Income] Enhanced IncomeShield Preferred,[AIA] HealthShield Gold Max A,[Great Eastern] GREAT SupremeHealth A*,[Great Eastern] GREAT SupremeHealth P PLUS,[Prudential] PRUShield Premier,[Singlife] Singlife Shield Plan 1,[Singlife] Singlife Shield Starter,[HSBC Life] HSBC Life Shield Plan A,[Raffles Health Insurance] Raffles Shield Private
Age Next Birthday:,,,,,,,,,,
1 to 20,289 - 343,367 - 378,429,268 - 292,350 - 402,405 - 448,342 - 380,475,321 - 336,346
21 to 30,431,504 - 522,536 - 617,399,509 - 550,547 - 555,490 - 523,582,443 - 489,477 - 480
31 to 40,649 - 661,757 - 770,837 - 887,589,807 - 838,816 - 869,749 - 825,724,697,742 - 745
41 to 50,894 - 955,"1,335 - 1,544","1,640 - 1,734",903,"1,373 - 1,415","1,429 - 1,478","1,279 - 1,748",N.A. (Note: Singlife Shield Starter is only available for those aged 1-39 ANB),"1,135","1,082 - 1,179"
51 to 60,"1,350 - 1,382","2,135 - 2,502","2,523 - 2,985","1,352","2,180 - 2,763","2,322 - 2,879","2,038 - 2,707","1,885 - 2,241","1,781 - 1,892",
61 to 65,"2,018","3,301","3,970","1,804","3,607 - 3,624","3,755 - 3,776","3,079 - 3,640","2,975","2,605",
66 to 70,"2,564","4,269","5,429","2,554","4,721 - 5,011","4,929 - 5,237","4,199 - 4,420","3,759 - 3,820","3,396",
71 to 73,"3,332","5,349","6,939","3,347","5,595 - 6,337","6,072 - 6,328","5,250 - 5,677","4,658","4,114",
74 to 75,"3,833","6,064","7,683","3,837","6,771 - 7,310","6,762 - 7,287","6,121 - 6,439","5,277","4,752",
76 to 78,"4,502","6,877","9,484","4,664","7,793 - 8,730","7,702 - 8,398","6,759 - 7,224","5,983","5,613",
79 to 80,"4,929","7,610","10,457","4,756","9,142 - 9,804","8,696 - 9,187","7,776 - 8,036","6,609","6,461",
81 to 83,"4,749","8,002","11,099","4,842","10,260 - 10,898","9,665 - 10,744","8,710 - 8,948","6,946","7,090",
84 to 85,"5,477","9,122","11,459","5,163","11,175 - 11,187","11,365 - 11,701","9,400 - 9,474","7,921","8,601",
86 to 90,"6,146 - 6,516","9,899 - 10,651","11,645 - 11,742","6,542 - 6,809","11,315 - 11,408","12,038 - 13,238","10,102 - 10,455","8,587 - 9,226","9,261 - 9,733",
Premiums above age 90,"6,915 - 8,554","11,261 - 13,156","12,256 - 13,626","6,839 - 7,644","11,532 - 12,505","13,328 - 14,428","10,646 - 11,547","9,724 - 11,304","9,847 - 11,789",
