"Comparison of Integrated Shield Plan Premiums for Singapore Citizen (SC) and Permanent Resident (PR) Policyholder (Rounded to nearest $, inclusive of GST)",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,[Singlife] Singlife Shield Standard Plan,[HSBC Life] HSBC Life Shield Standard Plan,,,,
Age Next Birthday:,IP Premium (incl. MSHL),IP Premium (excl. MSHL),Annual change in IP premium (excl. MSHL) over last 3 years,IP Premium (incl. MSHL),IP Premium (excl. MSHL),Annual change in IP premium (excl. MSHL) over last 3 years
1 to 20,195,47,-10.5%,188,41,0.6%
21 to 30,306,51,-8.4%,306,51,0.6%
31 to 40,469,71,-6.7%,460,63,0.6%
41 to 50,644 - 672,109 - 138,-2.8% to 1.2%,644,109,0.6%
51 to 60,981 - 984,166 - 169,1.3% to 1.4%,960 - 979,145 - 164,0.6%
61 to 65,"1,331",292,1.3%,"1,323",284,0.6%
66 to 70,"1,527",406,1.2%,"1,547",427,0.6%
71 to 73,"1,864",647,1.3%,"1,883",665,0.6%
74 to 75,"2,096",752,1.3%,"2,155",810,0.6%
76 to 78,"2,564","1,005",1.3%,"2,687","1,129",0.6%
79 to 80,"2,628","1,009",1.3%,"2,827","1,207",0.6%
81 to 83,"2,943","1,237",1.3%,"2,951","1,245",0.6%
84 to 85,"3,214","1,243",1.3%,"3,370","1,399",0.6%
86 to 90,"3,859 - 3,933","1,796 - 1,870",1.3%,"3,635 - 3,837","1,572 - 1,775",0.6%
Premiums above age 90,"4,118 - 4,367","2,024 - 2,274",1.3%,"4,698 - 5,346","2,605 - 3,253",0.6%
