Unnamed: 0,[Raffles Health Insurance] Raffles Shield Standard Plan,Unnamed: 1,Unnamed: 2
Age Next Birthday:,IP Premium (incl. MSHL),IP Premium (excl. MSHL),Annual change in IP premium (excl. MSHL) over last 3 years
1 to 20,188,40,0.6%
21 to 30,304,49,0.6%
31 to 40,460,63,0.6%
41 to 50,645 - 662,110 - 127,0.6%
51 to 60,959 - 981,144 - 166,0.6%
61 to 65,"1,319",280,0.6%
66 to 70,"1,523",402,0.6%
71 to 73,"1,849",632,0.6%
74 to 75,"2,102",757,0.6%
76 to 78,"2,528",969,0.6%
79 to 80,"2,652","1,032",0.6%
81 to 83,"2,901","1,195",0.6%
84 to 85,"3,191","1,220",0.6%
86 to 90,"3,598 - 3,740","1,535 - 1,677",0.6%
Premiums above age 90,"3,927 - 4,505","1,834 - 2,412",0.6%
