plan_id,tier_code,tier_slug,section_raw,benefit_raw,notes_raw,coverage_value_raw,is_blank_value,section_norm,benefit_norm,search_text_norm,source_pdf,source_page,source_table,source_slug,repair_flags
basic__medishield_life,basic,basic,Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Normal Ward [Note (7)],,800/day*,False,inpatient and day surgery daily ward and treatment charges,normal ward note 7,inpatient and day surgery daily ward and treatment charges normal ward note 7 800 day,01_basic.pdf,1,1,basic,
basic__income__incomeshield_plan_c,basic,basic,Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Normal Ward [Note (7)],,700/day,False,inpatient and day surgery daily ward and treatment charges,normal ward note 7,inpatient and day surgery daily ward and treatment charges normal ward note 7 700 day,01_basic.pdf,1,1,basic,
basic__income__enhanced_incomeshield_c,basic,basic,Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Normal Ward [Note (7)],,As Charged,False,inpatient and day surgery daily ward and treatment charges,normal ward note 7,inpatient and day surgery daily ward and treatment charges normal ward note 7 as charged,01_basic.pdf,1,1,basic,
basic__medishield_life,basic,basic,Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Intensive Care Unit Ward,* An additional claim limit of $200 per day applies for the first two inpatient days,"2,200/day*",False,inpatient and day surgery daily ward and treatment charges,intensive care unit ward,inpatient and day surgery daily ward and treatment charges intensive care unit ward an additional claim limit of 200 per day applies for the first two inpatient days 2 200 day,01_basic.pdf,1,1,basic,attached_note_row
basic__income__incomeshield_plan_c,basic,basic,Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Intensive Care Unit Ward,* An additional claim limit of $200 per day applies for the first two inpatient days,"1,200/day",False,inpatient and day surgery daily ward and treatment charges,intensive care unit ward,inpatient and day surgery daily ward and treatment charges intensive care unit ward an additional claim limit of 200 per day applies for the first two inpatient days 1 200 day,01_basic.pdf,1,1,basic,attached_note_row
basic__income__enhanced_incomeshield_c,basic,basic,Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Intensive Care Unit Ward,* An additional claim limit of $200 per day applies for the first two inpatient days,As Charged,False,inpatient and day surgery daily ward and treatment charges,intensive care unit ward,inpatient and day surgery daily ward and treatment charges intensive care unit ward an additional claim limit of 200 per day applies for the first two inpatient days as charged,01_basic.pdf,1,1,basic,attached_note_row
basic__medishield_life,basic,basic,Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Psychiatric,,160/day (up to 60 days per policy yr),False,inpatient and day surgery daily ward and treatment charges,psychiatric,inpatient and day surgery daily ward and treatment charges psychiatric 160 day up to 60 days per policy yr,01_basic.pdf,1,1,basic,
basic__income__incomeshield_plan_c,basic,basic,Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Psychiatric,,"7,000/yr",False,inpatient and day surgery daily ward and treatment charges,psychiatric,inpatient and day surgery daily ward and treatment charges psychiatric 7 000 yr,01_basic.pdf,1,1,basic,
basic__income__enhanced_incomeshield_c,basic,basic,Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Psychiatric,,"7,000/yr",False,inpatient and day surgery daily ward and treatment charges,psychiatric,inpatient and day surgery daily ward and treatment charges psychiatric 7 000 yr,01_basic.pdf,1,1,basic,
basic__medishield_life,basic,basic,Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Community Hospital (Rehabilitative),,350/day,False,inpatient and day surgery daily ward and treatment charges,community hospital rehabilitative,inpatient and day surgery daily ward and treatment charges community hospital rehabilitative 350 day,01_basic.pdf,1,1,basic,
basic__income__incomeshield_plan_c,basic,basic,Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Community Hospital (Rehabilitative),,550/day (up to 45 days for each admission),False,inpatient and day surgery daily ward and treatment charges,community hospital rehabilitative,inpatient and day surgery daily ward and treatment charges community hospital rehabilitative 550 day up to 45 days for each admission,01_basic.pdf,1,1,basic,
basic__income__enhanced_incomeshield_c,basic,basic,Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Community Hospital (Rehabilitative),,As charged (up to 45 days for each admission),False,inpatient and day surgery daily ward and treatment charges,community hospital rehabilitative,inpatient and day surgery daily ward and treatment charges community hospital rehabilitative as charged up to 45 days for each admission,01_basic.pdf,1,1,basic,
