plan_id,tier_code,tier_slug,tier_label,insurer_name,product_name,display_name,is_baseline,baseline_type,has_benefits,has_premium_data
basic__medishield_life,basic,basic,Basic Plans,,MediShield Life,MediShield Life,True,medishield_life,True,True
basic__income__incomeshield_plan_c,basic,basic,Basic Plans,Income,IncomeShield Plan C *,[Income] IncomeShield Plan C *,False,,True,True
basic__income__enhanced_incomeshield_c,basic,basic,Basic Plans,Income,Enhanced IncomeShield C *,[Income] Enhanced IncomeShield C *,False,,True,True
standard__standard_ip,standard,standard_integrated_shield_plans,Standard Integrated Shield Plans,,Standard IP,Standard IP,True,standard_ip,True,False
standard__income__incomeshield_standard_plan,standard,standard_integrated_shield_plans,Standard Integrated Shield Plans,Income,IncomeShield Standard Plan,[Income] IncomeShield Standard Plan,False,,False,True
standard__aia__healthshield_gold_max_standard_plan,standard,standard_integrated_shield_plans,Standard Integrated Shield Plans,AIA,HealthShield Gold Max Standard Plan,[AIA] HealthShield Gold Max Standard Plan,False,,False,True
standard__great_eastern__great_supremehealth_standard,standard,standard_integrated_shield_plans,Standard Integrated Shield Plans,Great Eastern,GREAT SupremeHealth STANDARD,[Great Eastern] GREAT SupremeHealth STANDARD,False,,False,True
standard__prudential__prushield_standard_plan,standard,standard_integrated_shield_plans,Standard Integrated Shield Plans,Prudential,PRUShield Standard Plan,[Prudential] PRUShield Standard Plan,False,,False,True
standard__singlife__singlife_shield_standard_plan,standard,standard_integrated_shield_plans,Standard Integrated Shield Plans,Singlife,Singlife Shield Standard Plan,[Singlife] Singlife Shield Standard Plan,False,,False,True
standard__hsbc_life__hsbc_life_shield_standard_plan,standard,standard_integrated_shield_plans,Standard Integrated Shield Plans,HSBC Life,HSBC Life Shield Standard Plan,[HSBC Life] HSBC Life Shield Standard Plan,False,,False,True
standard__raffles_health_insurance__raffles_shield_standard_plan,standard,standard_integrated_shield_plans,Standard Integrated Shield Plans,Raffles Health Insurance,Raffles Shield Standard Plan,[Raffles Health Insurance] Raffles Shield Standard Plan,False,,False,True
class_b1__income__incomeshield_plan_b,class_b1,class_b1_plans,Class B1 Plans,Income,IncomeShield Plan B*,[Income] IncomeShield Plan B*,False,,True,True
class_b1__income__enhanced_incomeshield_basic,class_b1,class_b1_plans,Class B1 Plans,Income,Enhanced IncomeShield Basic,[Income] Enhanced IncomeShield Basic,False,,True,True
class_b1__aia__healthshield_gold_max_c,class_b1,class_b1_plans,Class B1 Plans,AIA,HealthShield Gold Max C*,[AIA] HealthShield Gold Max C*,False,,True,True
class_b1__aia__healthshield_gold_max_b_lite,class_b1,class_b1_plans,Class B1 Plans,AIA,HealthShield Gold Max B Lite,[AIA] HealthShield Gold Max B Lite,False,,True,True
class_b1__great_eastern__great_supremehealth_b,class_b1,class_b1_plans,Class B1 Plans,Great Eastern,GREAT SupremeHealth B*,[Great Eastern] GREAT SupremeHealth B*,False,,True,True
