plan_id,tier_code,tier_slug,age_band_raw,age_start,age_end,age_open_ended,premium_total_raw,premium_total_min,premium_total_max,premium_excl_mshl_raw,premium_excl_mshl_min,premium_excl_mshl_max,annual_change_raw,annual_change_min_pct,annual_change_max_pct,premium_available,availability_note,source_kind,source_pdf,source_page,source_table,source_slug,repair_flags
basic__medishield_life,basic,basic,1 to 20,1,20.0,False,148,148.0,148.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__income__incomeshield_plan_c,basic,basic,1 to 20,1,20.0,False,155,155.0,155.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__income__enhanced_incomeshield_c,basic,basic,1 to 20,1,20.0,False,168 - 186,168.0,186.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__medishield_life,basic,basic,21 to 30,21,30.0,False,255,255.0,255.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__income__incomeshield_plan_c,basic,basic,21 to 30,21,30.0,False,262,262.0,262.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__income__enhanced_incomeshield_c,basic,basic,21 to 30,21,30.0,False,273,273.0,273.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__medishield_life,basic,basic,31 to 40,31,40.0,False,397,397.0,397.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__income__incomeshield_plan_c,basic,basic,31 to 40,31,40.0,False,406 - 416,406.0,416.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__income__enhanced_incomeshield_c,basic,basic,31 to 40,31,40.0,False,428,428.0,428.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__medishield_life,basic,basic,41 to 50,41,50.0,False,535,535.0,535.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__income__incomeshield_plan_c,basic,basic,41 to 50,41,50.0,False,561 - 576,561.0,576.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__income__enhanced_incomeshield_c,basic,basic,41 to 50,41,50.0,False,601 - 603,601.0,603.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__medishield_life,basic,basic,51 to 60,51,60.0,False,815,815.0,815.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__income__incomeshield_plan_c,basic,basic,51 to 60,51,60.0,False,878 - 888,878.0,888.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__income__enhanced_incomeshield_c,basic,basic,51 to 60,51,60.0,False,907 - 911,907.0,911.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__medishield_life,basic,basic,61 to 65,61,65.0,False,"1,039",1039.0,1039.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__income__incomeshield_plan_c,basic,basic,61 to 65,61,65.0,False,"1,132",1132.0,1132.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__income__enhanced_incomeshield_c,basic,basic,61 to 65,61,65.0,False,"1,245",1245.0,1245.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__medishield_life,basic,basic,66 to 70,66,70.0,False,"1,121",1121.0,1121.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__income__incomeshield_plan_c,basic,basic,66 to 70,66,70.0,False,"1,241",1241.0,1241.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__income__enhanced_incomeshield_c,basic,basic,66 to 70,66,70.0,False,"1,455",1455.0,1455.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__medishield_life,basic,basic,71 to 73,71,73.0,False,"1,217",1217.0,1217.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__income__incomeshield_plan_c,basic,basic,71 to 73,71,73.0,False,"1,384",1384.0,1384.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__income__enhanced_incomeshield_c,basic,basic,71 to 73,71,73.0,False,"1,729",1729.0,1729.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__medishield_life,basic,basic,74 to 75,74,75.0,False,"1,345",1345.0,1345.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__income__incomeshield_plan_c,basic,basic,74 to 75,74,75.0,False,"1,543",1543.0,1543.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__income__enhanced_incomeshield_c,basic,basic,74 to 75,74,75.0,False,"1,964",1964.0,1964.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__medishield_life,basic,basic,76 to 78,76,78.0,False,"1,559",1559.0,1559.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__income__incomeshield_plan_c,basic,basic,76 to 78,76,78.0,False,"1,788",1788.0,1788.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__income__enhanced_incomeshield_c,basic,basic,76 to 78,76,78.0,False,"2,338",2338.0,2338.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__medishield_life,basic,basic,79 to 80,79,80.0,False,"1,620",1620.0,1620.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__income__incomeshield_plan_c,basic,basic,79 to 80,79,80.0,False,"1,899",1899.0,1899.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__income__enhanced_incomeshield_c,basic,basic,79 to 80,79,80.0,False,"2,513",2513.0,2513.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__medishield_life,basic,basic,81 to 83,81,83.0,False,"1,706",1706.0,1706.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
